"year","doy","hour","zen","solar","netsolar","dw_solar","up_solar","temp","rh","windspeed","precip","day_length"
2004,1,0,161.512,0,0,0,0,0.43,0.7529,4.03,0,8
2004,1,1,154.35,0,0,0,0.005,0.425,0.7619,3.87,0,8.00011499826797
2004,1,2,144.0775,0,0,0,0,0.17,0.77315,3.945,0,8.00026714274172
2004,1,3,132.836,0,0,0,0,0.195,0.7983,4.275,0,8.00042680187575
2004,1,4,121.3835,0,0,0,0.03,-0.03,0.82675,4.425,0,8.00058298933508
2004,1,5,110.078,0,0,0,0.04,-0.22,0.8723,4.525,0,8.00072433048187
2004,1,6,99.185,0.069,0.235,0,0,-0.315,0.90525,4.355,0,8.00084326415036
2004,1,7,88.7585,17.71,8.005,5.165,2.44,0.465,0.89895,4.555,0,8.00551694885255
2004,1,8,79.739,73.968,27.97,29.74,8.06,1.515,0.88465,4.355,0,8.32007203352266
2004,1,9,72.121,104.811,37.255,42.18,11.275,2.08,0.8748,4.305,0,8.32661389222801
2004,1,10,66.5265,213.693,75.285,93.705,24.37,2.77,0.85625,5.27,0,8.32665037081811
2004,1,11,63.541,500.641,179.77,236.785,66.15,4.675,0.81465,6.58,0,8.32665041609816
2004,1,12,63.543,407.445,144.685,186.745,50.215,7.39,0.77445,6.27,0,8.32665045646404
2004,1,13,66.5305,391.828,139.93,181.205,51.32,9.205,0.7599,5.63,0,8.32665063494776
2004,1,14,72.127,362.963,131.195,169.685,50.395,10.835,0.73765,7.435,0,8.32665052465574
2004,1,15,79.7475,108.974,40.81,46.72,13.89,11.005,0.7597,6.03,0,8.32665058088823
2004,1,16,88.7685,17.779,7.685,4.65,2.07,10.94,0.80865,6.31,0,8.1813841429644
2004,1,17,99.1955,0.46,0.16,0,0.065,11.19,0.8295,7.4,0,8.04770136209977
2004,1,18,110.088,0.46,0,0,0.005,11.205,0.8797,8.02,0,8.04682770027882
2004,1,19,121.393,0.46,0,0,0.005,11.325,0.90575,7.31,0,8.04673961672839
2004,1,20,132.8415,0.46,0,0,0.02,11.12,0.92315,7.2,0,8.04669655365284
2004,1,21,144.0735,0.46,0,0,0.01,11.3,0.92075,8.01,0,8.04670078413062
2004,1,22,154.3285,0.46,0,0,0.045,11.245,0.9264,8.13,0,8.0467521805277
2004,1,23,161.452,0.46,0,0,0.015,11.215,0.9439,6.73,0,8.04684739261853
2004,2,0,161.47,0.46,0,0,0.005,11.1,0.9609,6.07,0.0635,8.04698082438592
2004,2,1,154.362,0.46,0,0,0,11.01,0.97445,4.855,0.0635,8.04714240759984
2004,2,2,144.1135,0.46,0,0,0.075,10.975,0.9782,3.835,0.0635,8.04732191165619
2004,2,3,132.88,0.46,0,0,0,11.05,0.9802,3.88,0.0635,8.04750666700032
2004,2,4,121.4265,0.46,0,0,0.02,11.345,0.9811,3.315,0.0635,8.04768386650525
2004,2,5,110.1175,0.46,0,0,0.075,11.295,0.982,3.975,0.0635,8.04784141248513
2004,2,6,99.2145,0.483,0.175,0,0.08,11.09,0.9822,3.045,0.0635,8.04796919141175
2004,2,7,88.7755,26.128,11.065,9.155,2.88,11.155,0.98325,4.125,0.0635,8.08897904798449
2004,2,8,79.7395,142.416,54.21,64.65,16.115,12.03,0.9841,5.78,0.0635,8.35971859471689
2004,2,9,72.1005,123.073,44.305,50.525,12.29,12.6,0.9848,6.045,0.0635,8.36185602844398
2004,2,10,66.4815,180.665,64.615,75.985,17.39,13.13,0.985,7.495,0.0635,8.36186615024007
2004,2,11,63.4685,225.239,80.435,96.485,22.47,13.79,0.985,8.66,0.0635,8.36186613260995
2004,2,12,63.4455,253.667,92.03,111.5,26.625,14.82,0.9586,10.2,0.0635,8.3618661736669
2004,2,13,66.416,238.119,86.98,105.915,26.795,15.77,0.9029,10.08,0.0635,8.36186635287148
