DOY,Leaf_Mg_per_ha,Stem_Mg_per_ha,Pod_Mg_per_ha
179,0.012177696,0.009507873,0
189,0.142640046,0.1093832,0
203,0.177916465,0.248940596,0
217,0.257951086,0.24452714,0.031316319
231,0.52872128,1.183535677,0.465652015
246,0.291223529,0.636684907,0.633484412
259,0.223246943,0.27319327,0.511169175
288,0,0.273877009,0.587834188
