DOY,LAI_mean,LAI_std
166,0.1725,0.02363
174,0.6375,0.0789
180,1.265,0.18484
187,2.385,0.4748
194,3.24,0.63182
201,5.64667,0.3177
208,6.4375,0.31993
216,6.6675,0.89287
229,6.3175,0.21453
235,5.7675,0.25915
243,4.6225,0.59539
250,4.905,0.75412
259,1.99,0.34554
266,0.905,0.09609
272,0.7575,0.05123
