DOY,Leaf_Mg_per_ha,Stem_Mg_per_ha,Pod_Mg_per_ha
170,0.139620833,0.071436458,0
183,0.521667708,0.361148958,0
197,1.0959375,1.37353125,0
211,1.795303125,2.556290625,0
225,2.0383125,3.61134375,0.70284375
238,1.933640625,3.935859375,2.478984375
254,1.218525,2.956275,4.507846875
266,0.010040625,1.71627674,5.532243958
280,0,1.859878125,4.980478125
