DOY,Leaf_Mg_per_ha,Stem_Mg_per_ha,Pod_Mg_per_ha
179,0.180284339,0.085244969,0
189,0.554461942,0.418853893,0
203,1.326552931,1.711067366,0.000317148
217,1.697944007,2.892825897,0.079396325
231,1.807742782,3.68591426,1.554571303
246,1.578813648,3.745260717,3.97601356
259,0.947537773,3.618401575,6.544650656
288,0,2.305701225,7.008967628
