DOY,Leaf_Mg_per_ha,Stem_Mg_per_ha,Pod_Mg_per_ha
172,0.023009121,0.014784571,0
187,0.100915291,0.113877718,0
200,0.115120242,0.366811059,0
214,0.053682052,0.123514741,0.02055603
228,0.113956655,0.286509423,0.259355804
242,0.302732215,0.584076259,0.437641174
256,0.200282382,0.247726161,0.289810491
270,0.000454663,0.575208931,1.279682874
