DOY,LAI_mean,LAI_std
157,0.025,0.00707
158,0.03,0.01414
164,0.14,0.0216
171,0.5225,0.20337
178,1.2925,0.22307
186,2.79,0.61357
195,4.63333,0.77501
200,5.5325,0.57308
207,6.57,0.19356
215,6.46667,0.29023
222,6.5925,0.05252
229,5.7025,0.33807
234,5.16,0.28752
242,4.92667,0.44501
249,3.5775,0.33955
255,1.3775,0.27945
264,1.0375,0.28395
