DOY,Leaf_Mg_per_ha,Stem_Mg_per_ha,Pod_Mg_per_ha
179,0.184601925,0.079272747,0
189,0.837707786,0.588363954,0
203,1.549650044,1.979002625,0
217,2.083989501,3.878171478,0.038932633
231,2.098988408,4.699693788,1.578630796
246,1.850394051,4.894648294,4.401429134
259,1.327021588,4.362058617,7.117704024
288,0,2.622120079,7.249562554
