DOY,LAI_mean,LAI_std
157,0.02,0
158,0.03,0.01414
164,0.1275,0.03403
171,0.4325,0.12093
178,1.5075,0.32725
186,2.6975,0.61245
195,4.61,0.33407
200,5.5275,0.50275
207,6.6475,0.44784
215,6.35,0.12124
222,6.6575,0.41347
229,6.1525,0.21654
234,5.57333,0.32146
242,5.3525,0.30631
249,4.2425,0.25591
255,2.4275,0.3788
264,1.0975,0.36646
