DOY,Leaf_Mg_per_ha,Stem_Mg_per_ha,Pod_Mg_per_ha
170,0.184311458,0.086530208,0
183,0.699773958,0.464114583,0
197,1.61240625,2.04815625,0
211,2.02111875,3.190490625,0
225,2.45175,4.4454375,0.66871875
238,2.074734375,4.617046875,2.509171875
254,1.6099125,4.304540625,5.0402625
266,0.04843125,2.584556784,6.818185521
280,0,2.392228125,5.671246875
