DOY,Leaf_Mg_per_ha,Stem_Mg_per_ha,Pod_Mg_per_ha
179,0.04081555,0.017079737,0
189,0.163863274,0.138449025,0
203,0.133774434,0.183710759,0.000549316
217,0.228326658,0.448744065,0.030989998
231,0.202475421,0.453447471,0.218402544
246,0.075475165,0.275321356,0.573548828
259,0.344550033,0.151045378,0.743440701
288,0,0.148389261,0.141828617
