DOY,Leaf_Mg_per_ha,Stem_Mg_per_ha,Pod_Mg_per_ha
172,0.032896589,0.014318136,0
186,0.146798299,0.198830061,0
200,0.338074288,0.605286253,0
214,0.152175913,0.559874052,0.164275197
228,0.119077589,0.306744644,0.434148074
242,0.512808699,0.379108485,0.588476976
256,0.061686243,0.220823981,0.52004438
270,0,0.243254729,0.633090858
