DOY,Leaf_Mg_per_ha,Stem_Mg_per_ha,Pod_Mg_per_ha
172,0.061268696,0.031741884,0
187,0.093324265,0.06259053,0
200,0.186946022,0.409565241,0
214,0.14238579,0.207097726,0.066613222
228,0.15455738,0.485691224,0.30894962
242,0.302415551,0.74900065,0.398567699
256,0.32276568,0.987710927,1.210707285
270,0,0.321363528,0.515364699
